Zaman,Hiz,Sicaklik,Batarya
00:02:23,50,0,0
00:02:26,50,0,0
00:02:29,50,0,0
00:02:32,50,0,0
00:02:35,50,0,0
00:02:38,50,0,0
00:02:41,50,0,0
00:02:44,50,0,0
00:02:47,50,0,0
00:02:50,50,0,0
00:02:53,50,0,0
00:02:56,50,0,0
00:02:59,50,0,0
00:03:02,50,0,0
00:03:05,50,0,0
00:03:08,50,0,0
00:03:11,50,0,0
00:03:14,50,0,0
00:03:17,50,0,0
00:03:20,50,0,0
00:03:23,50,0,0
00:03:26,50,0,0
00:03:29,50,0,0
00:03:32,50,0,0
00:03:35,50,0,0
00:03:38,50,0,0
00:03:41,50,0,0
00:03:44,50,0,0
00:03:47,50,0,0
00:03:50,50,0,0
00:03:53,50,0,0
00:03:56,50,0,0
00:03:59,50,0,0
00:04:02,50,0,0
00:04:05,50,0,0
00:04:08,50,0,0
00:04:11,50,0,0
00:04:14,50,0,0
00:04:17,50,0,0
00:04:20,50,0,0
00:04:23,50,0,0
00:04:26,50,0,0
00:04:29,50,0,0
00:04:32,50,0,0
00:04:35,50,0,0
00:04:38,50,0,0
00:04:41,50,0,0
00:04:44,50,0,0
00:04:47,50,0,0
00:04:50,50,0,0
00:04:53,50,0,0
00:04:56,50,0,0
00:04:59,50,0,0
00:05:02,50,0,0
00:05:05,50,0,0
00:05:08,50,0,0
00:05:11,50,0,0
00:05:14,50,0,0
00:05:17,50,0,0
00:05:20,50,0,0
00:05:23,50,0,0
00:05:26,50,0,0
00:05:29,50,0,0
00:05:32,50,0,0
00:05:35,50,0,0
00:05:38,50,0,0
00:05:41,50,0,0
00:05:44,50,0,0
00:05:47,50,0,0
00:05:50,50,0,0
00:05:53,50,0,0
00:05:56,50,0,0
00:05:59,50,0,0
00:06:02,50,0,0
00:06:05,50,0,0
00:06:08,50,0,0
00:06:11,50,0,0
00:06:14,50,0,0
00:06:17,50,0,0
00:06:20,50,0,0
00:06:23,50,0,0
00:06:26,50,0,0
00:06:29,50,0,0
00:06:32,50,0,0
00:06:35,50,0,0
00:06:38,50,0,0
00:06:41,50,0,0
00:06:44,50,0,0
00:06:47,50,0,0
00:06:50,50,0,0
00:06:53,50,0,0
00:06:56,50,0,0
00:06:59,50,0,0
00:07:02,50,0,0
00:07:05,50,0,0
00:07:08,50,0,0
00:07:11,50,0,0
00:07:14,50,0,0
00:07:17,50,0,0
00:07:20,50,0,0
00:07:23,50,0,0
00:07:26,50,0,0
00:07:29,50,0,0
00:07:32,50,0,0
00:07:35,50,0,0
00:07:38,50,0,0
00:07:41,50,0,0
00:07:44,50,0,0
00:07:47,50,0,0
00:07:50,50,0,0
00:07:53,50,0,0
00:07:56,50,0,0
00:07:59,50,0,0
00:08:02,50,0,0
00:08:05,50,0,0
00:08:08,50,0,0
00:08:11,50,0,0
00:08:14,50,0,0
00:08:17,50,0,0
00:08:20,50,0,0
00:08:23,50,0,0
00:08:26,50,0,0
00:08:29,50,0,0
00:08:32,50,0,0
00:08:35,50,0,0
00:08:38,50,0,0
00:08:41,50,0,0
00:08:44,50,0,0
00:08:47,50,0,0
00:08:50,50,0,0
00:08:53,50,0,0
00:08:56,50,0,0
00:08:59,50,0,0
00:09:02,50,0,0
00:09:05,50,0,0
00:09:08,50,0,0
00:09:11,50,0,0
00:09:14,50,0,0
00:09:17,50,0,0
00:09:20,50,0,0
00:09:23,50,0,0
00:09:26,50,0,0
00:09:29,50,0,0
00:09:32,50,0,0
00:09:35,50,0,0
00:09:38,50,0,0
00:09:41,50,0,0
00:09:44,50,0,0
00:09:47,50,0,0
00:09:50,50,0,0
00:09:53,50,0,0
00:09:56,50,0,0
00:09:59,50,0,0
00:10:02,50,0,0
00:10:05,50,0,0
00:10:08,50,0,0
00:10:11,50,0,0
00:10:14,50,0,0
00:10:17,50,0,0
00:10:20,50,0,0
00:10:23,50,0,0
00:10:26,50,0,0
00:10:29,50,0,0
00:10:32,50,0,0
00:10:35,50,0,0
00:10:38,50,0,0
00:10:41,50,0,0
00:10:44,50,0,0
00:10:47,50,0,0
00:10:50,50,0,0
00:10:53,50,0,0
00:10:56,50,0,0
00:10:59,50,0,0
00:11:02,50,0,0
00:11:05,50,0,0
00:11:08,50,0,0
00:11:11,50,0,0
00:11:14,50,0,0
00:11:17,50,0,0
00:11:20,50,0,0
00:11:23,50,0,0
00:11:26,50,0,0
00:11:29,50,0,0
00:11:32,50,0,0
00:11:35,50,0,0
00:11:38,50,0,0
00:11:41,50,0,0
00:11:44,50,0,0
00:11:47,50,0,0
00:11:50,50,0,0
00:11:53,50,0,0
00:11:56,50,0,0
00:11:59,50,0,0
00:12:02,50,0,0
00:12:05,50,0,0
00:12:08,50,0,0
00:12:11,50,0,0
00:12:14,50,0,0
00:12:17,50,0,0
00:12:20,50,0,0
00:12:23,50,0,0
00:12:26,50,0,0
00:12:29,50,0,0
00:12:32,50,0,0
00:12:35,50,0,0
00:12:38,50,0,0
00:12:41,50,0,0
00:12:44,50,0,0
00:12:47,50,0,0
00:12:50,50,0,0
00:12:53,50,0,0
00:12:56,50,0,0
00:12:59,50,0,0
00:13:02,50,0,0
00:13:05,50,0,0
00:13:08,50,0,0
00:13:11,50,0,0
00:13:14,50,0,0
00:13:17,50,0,0
00:13:20,50,0,0
00:13:23,50,0,0
00:13:26,50,0,0
00:13:29,50,0,0
00:13:32,50,0,0
00:13:35,50,0,0
00:13:38,50,0,0
00:13:41,50,0,0
00:13:44,50,0,0
00:13:47,50,0,0
00:13:50,50,0,0
00:13:53,50,0,0
00:13:56,50,0,0
00:13:59,50,0,0
00:14:02,50,0,0
00:14:05,50,0,0
00:14:08,50,0,0
00:14:11,50,0,0
00:14:14,50,0,0
00:14:17,50,0,0
00:14:20,50,0,0
00:14:23,50,0,0
00:14:26,50,0,0
00:14:29,50,0,0
00:14:33,50,0,0
00:14:36,50,0,0
00:14:39,50,0,0
00:14:42,50,0,0
00:14:45,50,0,0
00:14:48,50,0,0
00:14:51,50,0,0
00:14:54,50,0,0
00:14:57,50,0,0
00:15:00,50,0,0
00:15:03,50,0,0
00:15:06,50,0,0
00:15:09,50,0,0
00:15:12,50,0,0
00:15:15,50,0,0
00:15:18,50,0,0
00:15:21,50,0,0
00:15:24,50,0,0
00:15:27,50,0,0
00:15:30,50,0,0
00:15:33,50,0,0
00:15:36,50,0,0
00:15:39,50,0,0
00:15:42,50,0,0
